"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13868","should login with valid credentials","","Tue Oct 08 11:38:37 BRT 2024","passed","Tue Oct 08 11:38:51 BRT 2024","","My Login application","",""
"","16956","Deve Cadastrar com Sucesso","","Tue Oct 08 11:37:28 BRT 2024","passed","Tue Oct 08 11:37:45 BRT 2024","","Cadastro","",""
